1|563.716.596-34|2263|20170926184426
2|125.692.612-46|1534|20170926174426
3|864.758.321-38|4485|20170926164426
4|119.885.882-60|2150|20170926154426
5|741.381.856-66|3037|20170926144426
5|741.381.856-66|147|20170926134426
5|741.381.856-66|1896|20170926124426
5|741.381.856-66|4537|20170926114426
5|741.381.856-66|416|20170926104426
6|271.342.133-07|4390|20170926094426
6|271.342.133-07|2153|20170926084426
7|129.573.116-90|3930|20170926074426
7|129.573.116-90|2006|20170926064426
7|129.573.116-90|2374|20170926054426
8|377.585.764-86|1356|20170926044426
8|377.585.764-86|13|20170926034426
9|374.181.734-15|1101|20170926024426
10|692.455.523-30|562|20170926014426
11|378.328.189-05|4388|20170926004426
12|733.459.515-76|2625|20170925234426
12|733.459.515-76|1828|20170925224426
13|573.387.387-69|3394|20170925214426
14|636.865.362-00|2802|20170925204426
15|748.852.377-69|3706|20170925194426
15|748.852.377-69|2516|20170925184426
15|748.852.377-69|4175|20170925174426
15|748.852.377-69|1722|20170925164426
16|247.875.348-07|1440|20170925154426
16|247.875.348-07|2949|20170925144426
17|157.442.176-06|2379|20170925134426
18|333.579.344-77|2410|20170925124426
18|333.579.344-77|935|20170925114426
18|333.579.344-77|4771|20170925104426
19|642.337.729-48|2373|20170925094426
20|952.265.174-59|40|20170925084426
20|952.265.174-59|2503|20170925074426
21|594.261.334-61|3367|20170925064426
22|952.826.695-95|4917|20170925054426
22|952.826.695-95|1299|20170925044426
22|952.826.695-95|2182|20170925034426
22|952.826.695-95|2121|20170925024426
22|952.826.695-95|1289|20170925014426
22|952.826.695-95|4350|20170925004426
22|952.826.695-95|1547|20170924234426
22|952.826.695-95|1621|20170924224426
23|852.779.215-08|4368|20170924214426
23|852.779.215-08|4463|20170924204426
23|852.779.215-08|3888|20170924194426
24|556.586.397-00|4068|20170924184426
25|553.559.177-71|133|20170924174426
26|357.291.942-85|1807|20170924164426
26|357.291.942-85|372|20170924154426
26|357.291.942-85|2799|20170924144426
27|287.978.955-98|3767|20170924134426
28|381.219.748-01|1077|20170924124426
29|884.987.421-96|658|20170924114426
29|884.987.421-96|130|20170924104426
29|884.987.421-96|4419|20170924094426
29|884.987.421-96|1142|20170924084426
30|941.194.483-39|2818|20170924074426
31|431.172.184-67|2851|20170924064426
32|959.381.126-56|2946|20170924054426
33|243.721.785-14|636|20170924044426
33|243.721.785-14|4582|20170924034426
34|665.265.232-34|587|20170924024426
34|665.265.232-34|232|20170924014426
34|665.265.232-34|907|20170924004426
34|665.265.232-34|630|20170923234426
35|753.279.984-01|1418|20170923224426
35|753.279.984-01|1384|20170923214426
35|753.279.984-01|1428|20170923204426
35|753.279.984-01|1920|20170923194426
35|753.279.984-01|111|20170923184426
35|753.279.984-01|2534|20170923174426
36|332.756.889-87|3355|20170923164426
36|332.756.889-87|1169|20170923154426
37|741.432.355-28|1181|20170923144426
37|741.432.355-28|453|20170923134426
37|741.432.355-28|2253|20170923124426
38|385.996.797-59|2083|20170923114426
38|385.996.797-59|1615|20170923104426
38|385.996.797-59|3710|20170923094426
39|578.135.222-81|233|20170923084426
39|578.135.222-81|1054|20170923074426
39|578.135.222-81|2353|20170923064426
39|578.135.222-81|2319|20170923054426
39|578.135.222-81|735|20170923044426
40|938.485.446-87|4677|20170923034426
41|776.784.125-17|650|20170923024426
41|776.784.125-17|4779|20170923014426
41|776.784.125-17|2724|20170923004426
41|776.784.125-17|4387|20170922234426
41|776.784.125-17|127|20170922224426
42|752.276.852-74|372|20170922214426
43|735.466.286-08|3757|20170922204426
44|512.521.641-06|2711|20170922194426
44|512.521.641-06|4419|20170922184426
44|512.521.641-06|660|20170922174426
45|625.747.741-75|1171|20170922164426
46|796.439.769-98|680|20170922154426
46|796.439.769-98|1138|20170922144426
47|778.161.228-02|598|20170922134426
48|214.855.825-04|2312|20170922124426
49|634.389.329-62|1125|20170922114426
49|634.389.329-62|2760|20170922104426
49|634.389.329-62|2957|20170922094426
49|634.389.329-62|1594|20170922084426
49|634.389.329-62|4792|20170922074426
50|644.333.499-09|2709|20170922064426
50|644.333.499-09|4819|20170922054426
51|516.785.477-60|4705|20170922044426
52|778.198.192-86|4325|20170922034426
53|942.247.724-77|702|20170922024426
54|796.378.623-31|4605|20170922014426
54|796.378.623-31|2210|20170922004426
54|796.378.623-31|2960|20170921234426
